in,metadataTag,out,segment,source
11590,"{""chapter"":""chapter001"",""elapsed"":""00:07:43"",""primary-topic"":""despair"",""secondary-topic"":""arise"",""shot"":""frank"",""storyline-importance"":""6"",""subject"":""first cycle""}",11754,segment029,<nil>
11754,"{""chapter"":""chapter001"",""elapsed"":""00:07:50"",""primary-topic"":""despair"",""secondary-topic"":""arise"",""shot"":""frank"",""storyline-importance"":""3"",""subject"":""first cycle""}",11949,segment030,<nil>
11949,"{""chapter"":""chapter002"",""elapsed"":""00:07:57"",""primary-topic"":""hope"",""secondary-topic"":""awake"",""shot"":""frank"",""storyline-importance"":""10"",""subject"":""first cycle""}",12543,segment031,<nil>
12543,"{""chapter"":""chapter002"",""elapsed"":""00:08:21"",""primary-topic"":""hope"",""secondary-topic"":""discovery"",""shot"":""frank"",""storyline-importance"":""6"",""subject"":""first cycle""}",12722,segment032,<nil>
12722,"{""chapter"":""chapter002"",""elapsed"":""00:08:28"",""primary-topic"":""hope"",""secondary-topic"":""discovery"",""shot"":""frank"",""storyline-importance"":""3"",""subject"":""first cycle""}",13028,segment033,<nil>
13028,"{""chapter"":""chapter002"",""elapsed"":""00:08:41"",""primary-topic"":""hope"",""secondary-topic"":""discovery"",""shot"":""frank"",""storyline-importance"":""3"",""subject"":""first cycle""}",13227,segment034,<nil>
13227,"{""chapter"":""chapter002"",""elapsed"":""00:08:49"",""primary-topic"":""hope"",""secondary-topic"":""zoom"",""shot"":""frank"",""storyline-importance"":""10"",""subject"":""first cycle""}",13469,segment035,<nil>
13469,"{""chapter"":""chapter003"",""elapsed"":""00:08:58"",""primary-topic"":""hope"",""secondary-topic"":""pan"",""shot"":""frank"",""storyline-importance"":""6"",""subject"":""first cycle""}",13692,segment036,<nil>
13692,"{""chapter"":""chapter003"",""elapsed"":""00:09:07"",""primary-topic"":""hope"",""secondary-topic"":""pan"",""shot"":""frank"",""storyline-importance"":""10"",""subject"":""first cycle""}",13891,segment037,<nil>
13891,"{""chapter"":""chapter003"",""elapsed"":""00:09:15"",""primary-topic"":""hope"",""secondary-topic"":""pan"",""shot"":""frank"",""storyline-importance"":""3"",""subject"":""first cycle""}",13954,segment038,<nil>
13954,"{""chapter"":""chapter003"",""elapsed"":""00:09:18"",""primary-topic"":""hope"",""secondary-topic"":""cliff hanger"",""shot"":""frank"",""storyline-importance"":""3"",""subject"":""first cycle""}",14474,segment039,<nil>
14474,"{""chapter"":""chapter003"",""elapsed"":""00:09:38"",""primary-topic"":""hope"",""secondary-topic"":""end"",""shot"":""frank"",""storyline-importance"":""3"",""subject"":""first cycle""}",17532,segment040,<nil>
