chapter,in,metadataTags,out,storyline-importance
chapter003,15259,"{""Chris Packham"":""TRUE"",""oute"":""16184"",""primary-topic"":""goshawk"",""scene"":""scene006"",""segment"":""segment034"",""shot"":""nest"",""subject"":""goshawk"",""﻿elapsed"":""00:10:10""}",16185,3
chapter003,16185,"{""Chris Packham"":""TRUE"",""oute"":""16363"",""primary-topic"":""goshawk"",""scene"":""scene006"",""segment"":""segment035"",""shot"":""nest"",""subject"":""goshawk"",""﻿elapsed"":""00:10:47""}",16364,1
chapter004,16364,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""16703"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment036"",""shot"":""talking-heads"",""subject"":""bats"",""﻿elapsed"":""00:10:54""}",16704,1
chapter004,16704,"{""Chris Packham"":""TRUE"",""Megan McCubbin"":""TRUE"",""oute"":""16983"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment037"",""shot"":""aerial"",""subject"":""bats"",""﻿elapsed"":""00:11:08""}",16984,1
chapter004,16984,"{""Chris Packham"":""TRUE"",""Megan McCubbin"":""TRUE"",""oute"":""18102"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment038"",""shot"":""motage"",""subject"":""bats"",""﻿elapsed"":""00:11:19""}",18103,3
chapter004,18103,"{""Megan McCubbin"":""TRUE"",""oute"":""18331"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment039"",""shot"":""archive"",""subject"":""bats"",""﻿elapsed"":""00:12:04""}",18332,3
chapter004,18332,"{""Megan McCubbin"":""TRUE"",""oute"":""18603"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment040"",""shot"":""archive"",""subject"":""bats"",""﻿elapsed"":""00:12:13""}",18604,6
chapter004,18604,"{""Megan McCubbin"":""TRUE"",""oute"":""19011"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment041"",""shot"":""archive"",""subject"":""bats"",""﻿elapsed"":""00:12:24""}",19012,3
chapter004,19012,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""oute"":""19195"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment042"",""shot"":""interview"",""subject"":""bats"",""﻿elapsed"":""00:12:40""}",19196,6
chapter004,19196,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""oute"":""19921"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment043"",""shot"":""bat box"",""subject"":""bats"",""﻿elapsed"":""00:12:47""}",19922,3
chapter004,19922,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""oute"":""20081"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment044"",""shot"":""bat handling"",""subject"":""bats"",""﻿elapsed"":""00:13:16""}",20082,10
chapter004,20082,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""oute"":""20944"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment045"",""shot"":""bat handling"",""subject"":""bats"",""﻿elapsed"":""00:13:23""}",20945,3
chapter004,20945,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""oute"":""21281"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment046"",""shot"":""bat handling"",""subject"":""bats"",""﻿elapsed"":""00:13:57""}",21282,10
chapter004,21282,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""oute"":""21863"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment047"",""shot"":""bat handling"",""subject"":""bats"",""﻿elapsed"":""00:14:11""}",21864,3
chapter004,21864,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""oute"":""22659"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment048"",""shot"":""bat handling"",""subject"":""bats"",""﻿elapsed"":""00:14:34""}",22660,6
chapter004,22660,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""oute"":""23528"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment049"",""shot"":""bat handling"",""subject"":""bats"",""﻿elapsed"":""00:15:06""}",23529,3
chapter004,23529,"{""Megan McCubbin"":""TRUE"",""oute"":""25317"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment050"",""shot"":""talking-heads"",""subject"":""bats"",""﻿elapsed"":""00:15:41""}",25318,1
chapter005,25318,"{""Megan McCubbin"":""TRUE"",""oute"":""25788"",""primary-topic"":""terns"",""scene"":""scene006"",""segment"":""segment051"",""shot"":""intro"",""subject"":""terns"",""﻿elapsed"":""00:16:52""}",25789,1
chapter005,25789,"{""Gillian Burke"":""TRUE"",""Megan McCubbin"":""TRUE"",""oute"":""27058"",""primary-topic"":""terns"",""scene"":""scene006"",""segment"":""segment052"",""shot"":""talking-heads"",""subject"":""terns"",""﻿elapsed"":""00:17:11""}",27059,1
chapter005,27059,"{""Gillian Burke"":""TRUE"",""oute"":""27427"",""primary-topic"":""terns"",""scene"":""scene006"",""segment"":""segment053"",""shot"":""long shot"",""subject"":""terns"",""﻿elapsed"":""00:18:02""}",27428,10
chapter005,27428,"{""Gillian Burke"":""TRUE"",""oute"":""27823"",""primary-topic"":""terns"",""scene"":""scene006"",""segment"":""segment054"",""shot"":""long shot"",""subject"":""terns"",""﻿elapsed"":""00:18:17""}",27824,6
chapter005,27824,"{""Gillian Burke"":""TRUE"",""oute"":""28150"",""primary-topic"":""terns"",""scene"":""scene006"",""segment"":""segment055"",""shot"":""long shot"",""subject"":""terns"",""﻿elapsed"":""00:18:32""}",28151,3
chapter005,28151,"{""Gillian Burke"":""TRUE"",""oute"":""28496"",""primary-topic"":""sand-eels"",""scene"":""scene006"",""segment"":""segment056"",""shot"":""underwater"",""subject"":""sand-eels"",""﻿elapsed"":""00:18:46""}",28497,10
chapter005,28497,"{""Gillian Burke"":""TRUE"",""oute"":""28932"",""primary-topic"":""sand-eels"",""scene"":""scene006"",""segment"":""segment057"",""shot"":""underwater"",""subject"":""sand-eels"",""﻿elapsed"":""00:18:59""}",28933,6
chapter005,28933,"{""Gillian Burke"":""TRUE"",""oute"":""29432"",""primary-topic"":""sand-eels"",""scene"":""scene006"",""segment"":""segment058"",""shot"":""talking-heads"",""subject"":""sand-eels"",""﻿elapsed"":""00:19:17""}",29433,3
chapter005,29433,"{""Gillian Burke"":""TRUE"",""oute"":""30251"",""primary-topic"":""sand-eels"",""scene"":""scene006"",""segment"":""segment059"",""shot"":""montage"",""subject"":""sand-eels"",""﻿elapsed"":""00:19:37""}",30252,1
chapter005,30252,"{""Gillian Burke"":""TRUE"",""oute"":""31086"",""primary-topic"":""sand-eels"",""scene"":""scene006"",""secondary-topic"":""climate change"",""segment"":""segment060"",""shot"":""montage"",""subject"":""sand-eels"",""﻿elapsed"":""00:20:10""}",31087,1
chapter005,31087,"{""Gillian Burke"":""TRUE"",""oute"":""31904"",""primary-topic"":""sand-eels"",""scene"":""scene006"",""secondary-topic"":""climate change"",""segment"":""segment061"",""shot"":""underwater"",""subject"":""sand-eels"",""﻿elapsed"":""00:20:43""}",31905,1
chapter006,31905,"{""Guest"":""Marianne Hill"",""Guest affiliation"":""Artist"",""oute"":""32290"",""primary-topic"":""insects"",""scene"":""scene006"",""secondary-topic"":""climate change"",""segment"":""segment062"",""shot"":""intro"",""subject"":""bugs"",""﻿elapsed"":""00:21:16""}",32291,6
chapter006,32291,"{""Guest"":""Marianne Hill"",""Guest affiliation"":""Artist"",""oute"":""33758"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment063"",""shot"":""montage"",""subject"":""bugs"",""﻿elapsed"":""00:21:31""}",33759,6
chapter006,33759,"{""Gillian Burke"":""TRUE"",""Guest"":""Marianne Hill"",""Guest affiliation"":""Artist"",""oute"":""34355"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment064"",""shot"":""montage"",""subject"":""bugs"",""﻿elapsed"":""00:22:30""}",34356,10
chapter006,34356,"{""Guest"":""Marianne Hill"",""Guest affiliation"":""Artist"",""oute"":""34787"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment065"",""shot"":""montage"",""subject"":""bugs"",""﻿elapsed"":""00:22:54""}",34788,6
chapter006,34788,"{""Guest"":""Marianne Hill"",""Guest affiliation"":""Artist"",""oute"":""35398"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment066"",""shot"":""montage"",""subject"":""bugs"",""﻿elapsed"":""00:23:11""}",35399,3
chapter006,35399,"{""Guest"":""Marianne Hill"",""Guest affiliation"":""Artist"",""oute"":""35799"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment067"",""shot"":""montage"",""subject"":""bugs"",""﻿elapsed"":""00:23:35""}",35800,6
chapter006,35800,"{""Guest"":""Marianne Hill,Mike Willliams"",""Guest affiliation"":""Artist, Ecologist"",""oute"":""36199"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment068"",""shot"":""montage"",""subject"":""bugs"",""﻿elapsed"":""00:23:52""}",36200,1
chapter006,36200,"{""Guest"":""Marianne Hill,Mike Willliams"",""Guest affiliation"":""Artist, Ecologist"",""oute"":""37327"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment069"",""shot"":""montage"",""subject"":""bugs"",""﻿elapsed"":""00:24:08""}",37328,6
chapter006,37328,"{""Guest"":""Marianne Hill,Mike Willliams"",""Guest affiliation"":""Artist, Ecologist"",""oute"":""38577"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment070"",""shot"":""montage"",""subject"":""bugs"",""﻿elapsed"":""00:24:53""}",38578,1
chapter006,38578,"{""Guest"":""Marianne Hill,Mike Willliams"",""Guest affiliation"":""Artist, Ecologist"",""oute"":""38946"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment071"",""shot"":""montage"",""subject"":""bugs"",""﻿elapsed"":""00:25:43""}",38947,6
chapter006,38947,"{""Guest"":""Marianne Hill,Mike Willliams"",""Guest affiliation"":""Artist, Ecologist"",""oute"":""39999"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment072"",""shot"":""montage"",""subject"":""bugs"",""﻿elapsed"":""00:25:57""}",40000,3
chapter006,40000,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""40771"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment073"",""shot"":""talking-heads"",""subject"":""bugs"",""﻿elapsed"":""00:26:40""}",40772,1
chapter007,40772,"{""Chris Packham"":""TRUE"",""Guest"":""Dan Lettuce"",""Michaela Strachan"":""TRUE"",""oute"":""41157"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment074"",""shot"":""underwater"",""subject"":""humpback whale"",""﻿elapsed"":""00:27:10""}",41158,3
chapter007,41158,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""41658"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""bubble fishing"",""segment"":""segment075"",""shot"":""aerial"",""subject"":""humpback whale"",""﻿elapsed"":""00:27:26""}",41659,10
chapter007,41659,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""42077"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""bubble fishing"",""segment"":""segment076"",""shot"":""talking-heads"",""subject"":""humpback whale"",""﻿elapsed"":""00:27:46""}",42078,6
chapter007,42078,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""44138"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment077"",""shot"":""talking-heads"",""subject"":""humpback whale"",""﻿elapsed"":""00:28:03""}",44139,1
chapter007,44139,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""44573"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo"",""segment"":""segment078"",""shot"":""aerial"",""subject"":""humpback whale"",""﻿elapsed"":""00:29:25""}",44574,6
chapter007,44574,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""44841"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo"",""segment"":""segment079"",""shot"":""talking-heads"",""subject"":""humpback whale"",""﻿elapsed"":""00:29:42""}",44842,1
